timestamp_ms,raw_gx,raw_gy,raw_gz,filt_gx,filt_gy,filt_gz,pid_roll_out,pid_pitch_out,pid_yaw_out,pid_roll_err,pid_pitch_err,pid_yaw_err,acc_x,acc_y,acc_z
84562,2.929688,-0.854492,0.427246,4.046418,-0.725048,1.009535,-16.927015,10.433570,-3.472311,-84.635071,52.167847,4.309169,-1.794434,-4.182227,8.771192
84567,2.929688,-0.854492,0.427246,3.823072,-0.750937,0.893077,-16.927015,10.433570,-3.436634,-84.635071,52.167847,4.309169,-1.794434,-4.182227,8.771192
84572,2.929688,-0.854492,0.427246,3.644395,-0.771648,0.799911,-16.974327,10.452590,-3.429252,-84.871635,52.262947,4.309169,-1.794434,-4.182227,8.771192
84577,2.929688,-0.854492,0.427246,3.501453,-0.788217,0.725378,-16.974327,10.452590,-3.425911,-84.871635,52.262947,4.309169,-1.794434,-4.182227,8.771192
84582,0.183105,-0.427246,-0.183105,2.837784,-0.716023,0.543681,-16.425011,10.367141,-3.315387,-82.125053,51.835701,4.919520,-1.789648,-4.249219,8.780762
84587,0.183105,-0.427246,-0.183105,2.306848,-0.658267,0.398324,-16.425011,10.367141,-3.279490,-82.125053,51.835701,4.919520,-1.789648,-4.249219,8.780762
84592,0.183105,-0.427246,-0.183105,1.882100,-0.612063,0.282038,-16.442743,10.377700,-3.271980,-82.213715,51.888500,4.919520,-1.789648,-4.249219,8.780762
84597,0.183105,-0.427246,-0.183105,1.542301,-0.575100,0.189009,-16.442743,10.377700,-3.268453,-82.213715,51.888500,4.919520,-1.789648,-4.249219,8.780762
84602,-2.075195,-0.183105,-0.854492,0.818801,-0.496701,-0.019691,-15.991083,10.328872,-3.146879,-79.955414,51.644360,5.590907,-1.813574,-4.187012,8.780762
84607,-2.075195,-0.183105,-0.854492,0.240002,-0.433982,-0.186651,-15.991083,10.328872,-3.107351,-79.955414,51.644360,5.590907,-1.813574,-4.187012,8.780762
84612,-2.075195,-0.183105,-0.854492,-0.223037,-0.383807,-0.320219,-15.974579,10.334229,-3.099056,-79.872894,51.671146,5.590907,-1.813574,-4.187012,8.780762
84617,-2.075195,-0.183105,-0.854492,-0.593469,-0.343666,-0.427074,-15.974579,10.334229,-3.095123,-79.872894,51.671146,5.590907,-1.813574,-4.187012,8.780762
84622,-4.028320,0.305176,-1.159668,-1.280439,-0.213898,-0.573593,-15.583954,10.236573,-3.038940,-77.919769,51.182865,5.896083,-1.804004,-4.076953,8.790332
84627,-4.028320,0.305176,-1.159668,-1.830015,-0.110083,-0.690808,-15.583954,10.236573,-3.038940,-77.919769,51.182865,5.896083,-1.804004,-4.076953,8.790332
84632,-4.028320,0.305176,-1.159668,-2.269676,-0.027031,-0.784580,-15.583954,10.236573,-3.019888,-77.919769,51.182865,5.896083,-1.804004,-4.076953,8.790332
84637,-4.028320,0.305176,-1.159668,-2.621405,0.039410,-0.859598,-15.543414,10.236969,-3.014939,-77.717072,51.184845,5.896083,-1.804004,-4.076953,8.790332
84642,-4.699707,0.427246,-1.159668,-3.037066,0.116977,-0.919612,-15.409137,10.212555,-3.010951,-77.045685,51.062775,5.896083,-1.775293,-3.952539,8.761621
84647,-4.699707,0.427246,-1.159668,-3.369594,0.179031,-0.967623,-15.409137,10.212555,-3.009726,-77.045685,51.062775,5.896083,-1.775293,-3.952539,8.761621
84652,-4.699707,0.427246,-1.159668,-3.635617,0.228674,-1.006032,-15.353080,10.208020,-3.008238,-76.765396,51.040100,5.896083,-1.775293,-3.952539,8.761621
84657,-4.699707,0.427246,-1.159668,-3.848435,0.268388,-1.036759,-15.353080,10.208020,-3.006760,-76.765396,51.040100,5.896083,-1.775293,-3.952539,8.761621
84662,-4.211426,0.488281,-0.793457,-3.921033,0.312367,-0.988099,-15.450736,10.195813,-3.074818,-77.253677,50.979065,5.529872,-1.780078,-3.765918,8.761621
84667,-4.211426,0.488281,-0.793457,-3.979111,0.347550,-0.949170,-15.450736,10.195813,-3.090190,-77.253677,50.979065,5.529872,-1.780078,-3.765918,8.761621
84672,-4.211426,0.488281,-0.793457,-4.025574,0.375696,-0.918028,-15.450736,10.195813,-3.090190,-77.253677,50.979065,5.529872,-1.780078,-3.765918,8.761621
84677,-4.211426,0.488281,-0.793457,-4.062745,0.398213,-0.893114,-15.392756,10.186270,-3.092743,-76.963783,50.931347,5.529872,-0.880469,-1.890137,4.335351
84682,-2.807617,0.610352,-0.305176,-3.811719,0.440641,-0.775526,-15.673518,10.161856,-3.184918,-78.367592,50.809277,5.041591,-1.760937,-3.660645,8.747266
84687,-2.807617,0.610352,-0.305176,-3.610899,0.474583,-0.681456,-15.673518,10.161856,-3.210323,-78.367592,50.809277,5.041591,-1.760937,-3.660645,8.747266
84692,-2.807617,0.610352,-0.305176,-3.450243,0.501737,-0.606200,-15.633985,10.152064,-3.210609,-78.169922,50.760323,5.041591,-1.760937,-3.660645,8.747266
84697,-0.610352,0.244141,0.305176,-2.882264,0.450217,-0.423925,-15.633985,10.152064,-3.209723,-78.169922,50.760323,5.041591,-1.737012,-3.598438,8.752050
84702,-0.610352,0.244141,0.305176,-2.427882,0.409002,-0.278105,-16.073439,10.225307,-3.324440,-80.367188,51.126534,4.431239,-1.737012,-3.598438,8.752050
84707,-0.610352,0.244141,0.305176,-2.064376,0.376030,-0.161449,-16.073439,10.225307,-3.351279,-80.367188,51.126534,4.431239,-1.737012,-3.598438,8.752050
84712,-0.610352,0.244141,0.305176,-1.773571,0.349652,-0.068124,-16.059687,10.215388,-3.356914,-80.298431,51.076939,4.431239,-1.737012,-3.598438,8.752050
84717,1.464844,0.000000,0.854492,-1.125888,0.279722,0.116399,-16.059687,10.215388,-3.357433,-80.298431,51.076939,4.431239,-1.737012,-3.631934,8.723340
84722,1.464844,0.000000,0.854492,-0.607742,0.223777,0.264018,-16.474726,10.264216,-3.461016,-82.373627,51.321079,3.881923,-1.737012,-3.631934,8.723340
84727,1.464844,0.000000,0.854492,-0.193224,0.179022,0.382113,-16.474726,10.264216,-3.485273,-82.373627,51.321079,3.881923,-1.737012,-3.631934,8.723340
84732,1.464844,0.000000,0.854492,0.138389,0.143217,0.476589,-16.487961,10.258906,-3.490389,-82.439804,51.294533,3.881923,-1.737012,-3.631934,8.723340
84737,3.173828,-0.244141,1.159668,0.745477,0.065746,0.613205,-16.487961,10.258906,-3.490887,-82.439804,51.294533,3.881923,-1.751367,-3.694141,8.756836
84742,3.173828,-0.244141,1.159668,1.231147,0.003769,0.722497,-16.829758,10.307734,-3.548215,-84.148788,51.538673,3.576747,-1.751367,-3.694141,8.756836
84747,3.173828,-0.244141,1.159668,1.619683,-0.045813,0.809931,-16.829758,10.307734,-3.561368,-84.148788,51.538673,3.576747,-1.751367,-3.694141,8.756836
84752,3.173828,-0.244141,1.159668,1.930512,-0.085479,0.879879,-16.866354,10.307343,-3.563863,-84.331764,51.536716,3.576747,-1.751367,-3.694141,8.756836
84757,4.089355,-0.427246,1.281738,2.362281,-0.153832,0.960251,-16.866354,10.307343,-3.563787,-84.331764,51.536716,3.576747,-1.751367,-3.837695,8.747266
84762,4.089355,-0.427246,1.281738,2.707696,-0.208515,1.024548,-17.049459,10.343965,-3.586268,-85.247292,51.719822,3.454677,-1.751367,-3.837695,8.747266
84767,4.089355,-0.427246,1.281738,2.984028,-0.252261,1.075986,-17.049459,10.343965,-3.591037,-85.247292,51.719822,3.454677,-1.751367,-3.837695,8.747266
84772,4.089355,-0.427246,1.281738,3.205093,-0.287258,1.117137,-17.105583,10.348515,-3.591532,-85.527916,51.742573,3.454677,-1.751367,-3.837695,8.747266
84777,3.906250,-0.488281,1.037598,3.345325,-0.327463,1.101229,-17.105583,10.348515,-3.590997,-85.527916,51.742573,3.454677,-1.789648,-3.976465,8.766406
84782,3.906250,-0.488281,1.037598,3.457510,-0.359627,1.088503,-17.068962,10.360722,-3.543857,-85.344810,51.803608,3.698817,-1.789648,-3.976465,8.766406
84787,3.906250,-0.488281,1.037598,3.547258,-0.385357,1.078322,-17.068962,10.360722,-3.531782,-85.344810,51.803608,3.698817,-1.789648,-3.976465,8.766406
84792,3.906250,-0.488281,1.037598,3.619056,-0.405942,1.070177,-17.122965,10.365638,-3.528167,-85.614822,51.828186,3.698817,-1.789648,-3.976465,8.766406
84797,3.906250,-0.488281,1.037598,3.676495,-0.422410,1.063661,-17.122965,10.365638,-3.526593,-85.614822,51.828186,3.698817,-1.789648,-3.976465,8.766406
84802,2.868652,-0.305176,0.488281,3.514926,-0.398963,0.948585,-17.122965,10.365638,-3.525512,-85.614822,51.828186,3.698817,-1.789648,-4.091309,8.771192
